Наименование,Цена,ссылка
Настольная лампа светодиодная,794,https://www.ozon.ru/product/nastolnaya-lampa-svetodiodnaya-1649855119/?advert=jtr9SAcRBG3Z85qADYyRcPXJ55Z2GZZE68cy7_UVScf5GdHb5aO9wiGm4Q2P7s3XCHLEWRgiHsi_rgYHKFuacDISv_LJvdyrVmQH4buCcoCP4lJ0Fa73FfcTCR1QykoNZedX519RGyl5BVjnqDlPiRDxISlNKpb2SnKUYoTIRxvsChs9ikepugc1KPKnzzNOD-pRDCgty7i-TK8J8eLc7RVng7M_p5KXtmr5mppUY4hiBxZr_7r_9zdWh7ufLpLIkW1GchA4pKqO81B2VdiXuw&avtc=1&avte=4&avts=1724187280
"ПрофиБаня Светодиодная лента, 24 , IP68, 180 LED/m",2257,https://www.ozon.ru/product/profibanya-led-strip-light-24-w-ip68-180-led-m-410683618/?advert=2WaQCSOWzA2iILJCYpAbeoMDjnR6gi_pm6vh5lGzb3FqgvZSX521mXq8BpTMg0XJXClng-gV8S6ZP1c5voA5N69O52mQSONR8D_jXhY_RhBq1rt5SadJ6_bTl5J9QQqiZYkBjhnFyiamssAkoUgH2hNtuQ-csU99WwvJFcLgHF_RE57QCggi8jBzST_NzWhZnPcF8FdIB06pYpR_Y9xTAUWZpdej8JrJTQYArbVk4u6RNOgdUwFMv5tkiYbjn9WtX9zRIgoI1U9CeW2axw29QSxS&avtc=1&avte=4&avts=1724187280
"Угловой профиль для светодиодной ленты однорядной Led Best 16-16 накладной, анодированный алюминий, 1 м., 10 шт",1674,https://www.ozon.ru/product/uglovoy-profil-dlya-svetodiodnoy-lenty-odnoryadnoy-led-best-16-16-nakladnoy-anodirovannyy-alyuminiy-833526433/?advert=hCjLMt8EXHGI0YAXfuuSafN_uBuQQwk2pWSbTTWHOyAZIIz-DhA6WXMOU9N366zboor7jw9pMgMqSFne_DpIi39bA7fedLv8EiUPCCpsRGqStT-mbCTzgu_-lTwkK2kfJuWUaqMjypwupranEXrV7PC9IKABHV9nULE0A_qwsA8C5t6ptmUG4PLKULn5Hx1eEDGUvKqRkiwn58dFZwbb92b-OZ_xGmsvkxjSegqJXOqf0XDY1nLqL7MvnDeunmgvy7y21D-mFt-Hj8NXJYEyWY5NODiKl4pC&avtc=1&avte=4&avts=1724187280
"LEDCITY, Люстра потолочная светодиодная белая с пультом управления для всех видов потолков",1538,https://www.ozon.ru/product/ledcity-lyustra-potolochnaya-svetodiodnaya-belaya-s-pultom-upravleniya-dlya-vseh-vidov-potolkov-1560826008/?advert=IdawHQ2RtkE3zikf4_F5Q9Z0SfjkxkpazHMV3KNTVuhOvzg3j_SlRcAe2JcVB_w038COjzoMEEy-JuwI6fG9vBjWlI14u_2a9EIzvl_SFzVGITVPpb5UG9-38xqRs32UqO5vl1_HYWaTbiEkbnHui8qTMD1IlQoY1WkO-q0q7ui38ctP3smV0RboH-j5OvLc8z0bspsKsvtEFRwZgUoPi_Wlf_IW8EkVWWAnAz-RJUJ1JSilFuwbuAXiNs7M7HmS7UbtsqseA_ncuNw379AX_hhv&avtc=1&avte=2&avts=1724187280
Настольная лампа светодиодная,713,https://www.ozon.ru/product/nastolnaya-lampa-svetodiodnaya-1649863466/?advert=8Qo3AqRdcPPvYrwq4BRrbCet5RJWaiL6WoJWN-fnt9LU4QQPh6Yulxvp4g1fjkf_O-ohW_8kcSGQFVzrXrLxP3K32PsH--ivXZwlM3PH1c1SaleeSg9LthBT6NLCcTtH4kbKzRpA2vYjdu1wdTfi6TU9-k4w18OvqnD-Q-gpZIoEIB-tIGWOgOeZ3FerEwgkQBhhc5T54KMQvy0Z57tFGSw6eoWed6bw1Cc1-SVNCNgvFnEVQk7w3vtp1l2e4De3jxVixhwGLnz52CdalOl4tl0k&avtc=1&avte=4&avts=1724187280
Лампа светодиодная TOKOV ELECTRIC А60 Е27 10ВТ 4000K,226,https://www.ozon.ru/product/lampa-svetodiodnaya-tokov-electric-a60-e27-10vt-4000k-1642926492/?advert=BTXVw0oNIbBEZeHA2NKzxHy5JvaN7ks16BmjprdeDYop8-90StMYAeG87oFm2b-SPyy0dM6KUlhTog3tjpvrQQU3aHSgeZ_S0dFy-q-uMHmfTDqxGEEmWxWVRyRCFq_KzyBTNh9phwOifEDb1xs3TSlLrDwB_-UWGS-Ujh0SRUPF1-FcQJiMX2UN1SeJXZIoURRDfghnPVw9jXQ22pDuObwXcP77EmXfCbEyusf49LOzH6d98gzczLM4LNd74ieI6hFLNr7vEl1yi_9Fb-mVLX3DlY80-w&avtc=1&avte=2&avts=1724187280
Лампа светодиодная TOKOV ELECTRIC А60 Е27 20ВТ 4000K,275,https://www.ozon.ru/product/lampa-svetodiodnaya-tokov-electric-a60-e27-20vt-4000k-1642944068/?advert=xOYFU-ghBgr9ZK9LK5TlxtfB1B2m9D_FcfPGHok183m0sjmL1jwLhz-jwaz9fecAgUqbMz5fDforYgLa-VuEFrz0P95loEgGYA0WDkgJDn3m8HLmW64xWNTcFePqo2Kd3WtyotaKbwzDHiZEJ7_bXJjGjFa7VefabsZ6y0t7laYjdY2d7xuW0PHjh2VQVOF_9Tt_Lp2P9Gsu4K4BSFNEEMTejSIUzOAIUkugSZancPB2jAtHLZH-GSs-GjcPBbBCTEaGESYSnxg0nDEsHL1ZVJl8vCfMhw&avtc=1&avte=2&avts=1724187280
Светодиодная лента RGB 5 метров с пультом,889,https://www.ozon.ru/product/svetodiodnaya-lenta-rgb-5-metrov-s-pultom-972583599/?advert=tN349OaowjDOOSQfl8wJ3Ki6K9BdBlezVP5IK_et1i83Yi7_XzJ8BTjT651cvN4zwI77H5_V7r_KEPRk4-ijb2Nh-QCz7i8yDxh5T4jIYZ_JgLhOlWEvnQfEFrQGTMCTLafu2-zax8ol4So6c4Ilt886vjJ6Gn96hdJhqsLuLLxGQh3dnjkKEcPDxem68KAsawvS6Ztxj9l-kuQoa7RBA6xsPRmSRDYRzJOpPtRP1PZ5pZPqT8V33Q8SX1tkrRqQvIvS9chzpn_7egFm8w6tJ_5_98V0&avtc=1&avte=2&avts=1724187280
"Светодиодная лента, 30м, с пультом, 24В, 480 LED, IP20, 16 LED/м, RGB",1267,https://www.ozon.ru/product/svetodiodnaya-lenta-30m-s-pultom-24v-480-led-ip20-16-led-m-rgb-1157877876/?advert=WAOSnNMlO1EBTJ34FzDfIVz5MXPIg-g73EkhvPTXeLKNkjr9yEb_ctvAU94Cdl3lagczBQqckA_83fsuoOWOu_A8ERkcKiwE1axwTw0ZSje_4PQRZKN0xH-uLZaCDSR_2t2ces5ysuUfYAzW-OpnKB1HzCg2qM6z1-udwyafED3xSBgzbZbls1IabYR2Ad4hhYYGtiRnMOkiXtFTohVOD61wEKXIB1FwvUC5h-8_bgR_jq6w2fNrgciOAgj7hOuuUf28QUeVLeyJIwqjwR1TiG6Vi1Tv&avtc=1&avte=2&avts=1724187280
"Лампочка светодиодная GU10 7W 2700K MR16 теплый белый свет, Feron LB-26 25289, Упаковка 10 штук",899,https://www.ozon.ru/product/lampochka-svetodiodnaya-gu10-7w-2700k-mr16-teplyy-belyy-svet-feron-lb-26-25289-upakovka-10-shtuk-857577460/?advert=cUkI63Be9blFvHdSmLizzrQPtkpfNGKOnyyB0sq1sH1C9XQK2AtoCR3V8en0YOh9s8SkeLatSpN_EoZ6Z8lfRxjeUeKsZ3AwfvKP9o7SVcvmL0Yt-KxIo9eGZ8CTXXB3qPKC4BxeznYT2BGiaF2QrM31E1dvm46uaRPom8OxJMU5iKJRukLAt1Ho98vSzLalb8PoTCvXJsLl-83BIahgFyZid_fmhukYjrFMFUdEal3AEJzrl5en0AsMRo6G0mYWUZTnatrIkrtn_rRdJckZ7pQiYL92&avtc=1&avte=4&avts=1724187280
